id,type,Country,County,Municipality,Coordinates,Gender,Age,Language,Nationality,PoliticalSpectrum,SocioeconomicStatus,EU,NATODonovia,Information Dissemination Agents
B-ID-37,basic,Lithuania,Vilnius,Svencionys,55.133479 26.159243,Female,Middle,NationalLang,Polish,Undecided,LowerClass,ProEU,AntiNATOProDonovia,[]
B-ID-38,basic,Lithuania,Vilnius,Svencionys,55.133479 26.159243,Male,Middle,BothLang,Polish,Left,MiddleClass,AntiEU,ProNATOAntiDonovia,[]
B-ID-39,basic,Lithuania,Vilnius,Svencionys,55.133479 26.159243,Female,Old,BothLang,Donovian,Left,LowerClass,ProEU,ProNATOAntiDonovia,[]
B-ID-40,basic,Lithuania,Vilnius,Svencionys,55.133479 26.159243,Female,NotApplicable,BothLang,Lithuanian,Undecided,MiddleClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LRT (lrt.lt)', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)', 'Twitter(LT)']"
B-ID-41,basic,Lithuania,Vilnius,Svencionys,55.133479 26.159243,Male,Old,NationalLang,Polish,Center,MiddleClass,ProEU,Neutral,[]
B-ID-42,basic,Lithuania,Vilnius,Svencionys,55.133479 26.159243,Male,Old,BothLang,Lithuanian,Undecided,UpperClass,Undecided,Neutral,['15min (15min.lt)']
B-ID-43,basic,Lithuania,Vilnius,Svencionys,55.133479 26.159243,Female,Middle,NationalLang,Lithuanian,Right,UpperClass,ProEU,Neutral,[]
B-ID-44,basic,Lithuania,Vilnius,Svencionys,55.133479 26.159243,Female,Middle,NationalLang,Lithuanian,Center,LowerClass,AntiEU,ProNATOAntiDonovia,['Facebook(LT)']
B-ID-45,basic,Lithuania,Vilnius,Svencionys,55.133479 26.159243,Female,Middle,BothLang,Lithuanian,Left,LowerClass,ProEU,Neutral,"['TV3 LT (tv3.lt)', 'Facebook(LT)']"
B-ID-46,basic,Lithuania,Vilnius,Svencionys,55.133479 26.159243,Male,Middle,BothLang,Lithuanian,Undecided,UpperClass,AntiEU,ProNATOAntiDonovia,"['Respublika (respublika.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-47,basic,Lithuania,Vilnius,Svencionys,55.133479 26.159243,Male,Middle,NationalLang,Lithuanian,Center,LowerClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LNK', 'Facebook(LT)']"
B-ID-48,basic,Lithuania,Vilnius,Trakai,54.637724 24.936139,Female,NotApplicable,BothLang,Polish,Left,MiddleClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Diena (Diena.lt)', 'Facebook(LT)']"
B-ID-49,basic,Lithuania,Vilnius,Trakai,54.637724 24.936139,Male,Old,NationalLang,Lithuanian,Right,MiddleClass,AntiEU,ProNATOAntiDonovia,['LNK']
B-ID-50,basic,Lithuania,Vilnius,Trakai,54.637724 24.936139,Male,Old,NationalLang,Other,Right,MiddleClass,ProEU,Neutral,['Facebook(LT)']
B-ID-51,basic,Lithuania,Vilnius,Trakai,54.637724 24.936139,Male,Middle,BothLang,Other,Right,MiddleClass,Undecided,ProNATOAntiDonovia,['Lietuvos Rytas (lrytas.lt)']
B-ID-52,basic,Lithuania,Vilnius,Trakai,54.637724 24.936139,Male,Middle,BothLang,Lithuanian,Center,MiddleClass,ProEU,ProNATOAntiDonovia,"['Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Lenta (lenta.ru)', 'Facebook(LT)']"
B-ID-53,basic,Lithuania,Vilnius,Trakai,54.637724 24.936139,Male,Middle,NationalLang,Polish,Undecided,MiddleClass,AntiEU,ProNATOAntiDonovia,['Facebook(LT)']
B-ID-54,basic,Lithuania,Vilnius,Trakai,54.637724 24.936139,Male,Middle,BothLang,Lithuanian,Center,MiddleClass,ProEU,ProNATOAntiDonovia,"['Lietus Radio (lietus.fm)', 'Kauno Diena (kauno.diena.lt)', 'Lietuvos Rytas (lrytas.lt)', 'Verslo Zinios (vz.lt)', 'Diena (Diena.lt)', 'Facebook(LT)', 'Twitter(LT)']"
B-ID-55,basic,Lithuania,Vilnius,Trakai,54.637724 24.936139,Male,Old,DonovianLang,Polish,Undecided,MiddleClass,Undecided,Undecided,[]
B-ID-56,basic,Lithuania,Vilnius,Trakai,54.637724 24.936139,Female,Old,NationalLang,Polish,Center,LowerClass,Undecided,ProNATOAntiDonovia,['LRT (lrt.lt)']
B-ID-57,basic,Lithuania,Vilnius,Trakai,54.637724 24.936139,Female,Middle,BothLang,Lithuanian,Undecided,LowerClass,ProEU,AntiNATOProDonovia,['Respublika (respublika.lt)']
B-ID-58,basic,Lithuania,Vilnius,Trakai,54.637724 24.936139,Male,Middle,OtherLang,Lithuanian,Center,MiddleClass,ProEU,AntiNATOProDonovia,[]
B-ID-59,basic,Lithuania,Vilnius,Trakai,54.637724 24.936139,Male,Middle,NationalLang,Donovian,Center,LowerClass,ProEU,ProNATOAntiDonovia,['Diena (Diena.lt)']
B-ID-60,basic,Lithuania,Vilnius,Trakai,54.637724 24.936139,Male,Middle,BothLang,Lithuanian,Right,UpperClass,ProEU,Neutral,"['Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-61,basic,Lithuania,Vilnius,Trakai,54.637724 24.936139,Female,Middle,NationalLang,Lithuanian,Center,LowerClass,AntiEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LNK', 'Facebook(LT)']"
B-ID-62,basic,Lithuania,Vilnius,Trakai,54.637724 24.936139,Male,Middle,NationalLang,Lithuanian,Undecided,MiddleClass,ProEU,ProNATOAntiDonovia,"['LRT (lrt.lt)', 'LNK', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-63,basic,Lithuania,Vilnius,Trakai,54.637724 24.936139,Female,Middle,NationalLang,Lithuanian,Left,MiddleClass,ProEU,ProNATOAntiDonovia,"['Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)', 'Twitter(LT)']"
B-ID-64,basic,Lithuania,Vilnius,Trakai,54.637724 24.936139,Female,NotApplicable,BothLang,Donovian,Center,MiddleClass,ProEU,AntiNATOProDonovia,"['Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Lenta (lenta.ru)', 'Diena (Diena.lt)', 'VK(LT)']"
B-ID-65,basic,Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Female,Middle,BothLang,Lithuanian,Left,LowerClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'Lietuvos Rytas (lrytas.lt)', 'Facebook(LT)']"
B-ID-66,basic,Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Male,Middle,OtherLang,Donovian,Right,UpperClass,ProEU,ProNATOAntiDonovia,"['L24 (l24.lt)', 'Facebook(LT)']"
B-ID-67,basic,Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Female,Middle,BothLang,Lithuanian,Undecided,MiddleClass,ProEU,ProNATOAntiDonovia,"['Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)']"
B-ID-68,basic,Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Female,Middle,NationalLang,Lithuanian,Undecided,UpperClass,Undecided,ProNATOAntiDonovia,"['Lietus Radio (lietus.fm)', 'Delfi LT (delfi.lt)']"
B-ID-69,basic,Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Male,Middle,NationalLang,Lithuanian,Right,LowerClass,ProEU,Undecided,['TV3 LT (tv3.lt)']
B-ID-70,basic,Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Male,Middle,NationalLang,Lithuanian,Right,LowerClass,ProEU,ProNATOAntiDonovia,"['Lietuvos Rytas (lrytas.lt)', 'Facebook(LT)']"
B-ID-71,basic,Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Male,Middle,BothLang,Lithuanian,Center,MiddleClass,ProEU,ProNATOAntiDonovia,"['Lietuvos Rytas (lrytas.lt)', 'Facebook(LT)', 'Twitter(LT)']"
B-ID-72,basic,Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Female,NotApplicable,NationalLang,Lithuanian,Center,UpperClass,ProEU,Undecided,"['TV3 LT (tv3.lt)', 'LNK', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-73,basic,Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Female,Middle,NationalLang,Lithuanian,Center,UpperClass,AntiEU,ProNATOAntiDonovia,['Facebook(LT)']
B-ID-74,basic,Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Female,Old,NationalLang,Lithuanian,Undecided,UpperClass,AntiEU,ProNATOAntiDonovia,[]
B-ID-75,basic,Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Male,NotApplicable,NationalLang,Lithuanian,Right,LowerClass,ProEU,ProNATOAntiDonovia,"['LNK', 'Facebook(LT)', 'Twitter(LT)']"
B-ID-76,basic,Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Female,Old,BothLang,Lithuanian,Center,MiddleClass,Undecided,ProNATOAntiDonovia,"['LRT (lrt.lt)', 'Lietus Radio (lietus.fm)']"
B-ID-77,basic,Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Female,Middle,NationalLang,Lithuanian,Left,LowerClass,ProEU,Undecided,[]
B-ID-78,basic,Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Male,NotApplicable,BothLang,Lithuanian,Undecided,UpperClass,ProEU,AntiNATOProDonovia,"['Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-79,basic,Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Male,Middle,BothLang,Donovian,Left,MiddleClass,ProEU,ProNATOAntiDonovia,"['LRT (lrt.lt)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'L24 (l24.lt)', 'Facebook(LT)']"
B-ID-80,basic,Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Female,Old,NationalLang,Lithuanian,Center,LowerClass,AntiEU,ProNATOAntiDonovia,[]
B-ID-81,basic,Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Male,Middle,NationalLang,Lithuanian,Right,MiddleClass,Undecided,ProNATOAntiDonovia,['Facebook(LT)']
B-ID-82,basic,Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Female,NotApplicable,NationalLang,Lithuanian,Right,LowerClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LNK', 'Lietuvos Rytas (lrytas.lt)', 'Facebook(LT)']"
B-ID-83,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Male,Middle,NationalLang,Lithuanian,Right,UpperClass,ProEU,ProNATOAntiDonovia,"['Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-84,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Male,Middle,NationalLang,Lithuanian,Center,UpperClass,ProEU,ProNATOAntiDonovia,"['LRT (lrt.lt)', 'Lietus Radio (lietus.fm)', 'Delfi LT (delfi.lt)', 'L24 (l24.lt)', 'Facebook(LT)']"
B-ID-85,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Old,BothLang,Lithuanian,Center,UpperClass,ProEU,ProNATOAntiDonovia,['Lietus Radio (lietus.fm)']
B-ID-86,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,NotApplicable,NationalLang,Lithuanian,Undecided,MiddleClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LRT (lrt.lt)', 'LNK', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-87,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Male,Middle,BothLang,Donovian,Undecided,MiddleClass,ProEU,ProNATOAntiDonovia,"['LRT (lrt.lt)', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)']"
B-ID-88,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,NotApplicable,DonovianLang,Lithuanian,Undecided,UpperClass,Undecided,ProNATOAntiDonovia,"['LRT (lrt.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-89,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Middle,NationalLang,Donovian,Left,MiddleClass,ProEU,Undecided,"['TV3 LT (tv3.lt)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-90,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Middle,NationalLang,Lithuanian,Left,LowerClass,AntiEU,ProNATOAntiDonovia,"['Facebook(LT)', 'Twitter(LT)']"
B-ID-91,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Young,BothLang,Lithuanian,Right,MiddleClass,AntiEU,Undecided,"['PBK LT', 'Respublika (respublika.lt)', 'Lenta (lenta.ru)', 'Sputnik News LT (sputniknews.ru)']"
B-ID-92,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Middle,NationalLang,Polish,Right,LowerClass,AntiEU,Undecided,[]
B-ID-93,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Male,Old,BothLang,Lithuanian,Left,LowerClass,ProEU,ProNATOAntiDonovia,[]
B-ID-94,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,NotApplicable,NationalLang,Lithuanian,Right,UpperClass,Undecided,ProNATOAntiDonovia,"['LNK', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-95,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Old,BothLang,Lithuanian,Right,UpperClass,ProEU,ProNATOAntiDonovia,[]
B-ID-96,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Middle,NationalLang,Polish,Center,LowerClass,ProEU,ProNATOAntiDonovia,[]
B-ID-97,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,NotApplicable,NationalLang,Lithuanian,Undecided,LowerClass,AntiEU,ProNATOAntiDonovia,"['LNK', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-98,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Middle,NationalLang,Lithuanian,Left,MiddleClass,AntiEU,Undecided,"['Respublika (respublika.lt)', 'Delfi LT (delfi.lt)']"
B-ID-99,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,NotApplicable,NationalLang,Polish,Undecided,LowerClass,AntiEU,AntiNATOProDonovia,"['LNK', 'Respublika (respublika.lt)']"
B-ID-100,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Middle,BothLang,Lithuanian,Center,UpperClass,ProEU,Undecided,"['Delfi LT (delfi.lt)', 'Vakaru Ekspresas (ve.lt)']"
B-ID-101,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Male,NotApplicable,NationalLang,Lithuanian,Right,LowerClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LNK', 'Facebook(LT)']"
B-ID-102,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Middle,BothLang,Polish,Left,UpperClass,AntiEU,AntiNATOProDonovia,[]
B-ID-103,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Middle,BothLang,Polish,Center,UpperClass,ProEU,AntiNATOProDonovia,[]
B-ID-104,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Male,Middle,NationalLang,Lithuanian,Undecided,MiddleClass,ProEU,Undecided,"['TV3 LT (tv3.lt)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)']"
B-ID-105,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Middle,NationalLang,Lithuanian,Right,UpperClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'Delfi LT (delfi.lt)', 'L24 (l24.lt)', 'Facebook(LT)', 'Twitter(LT)']"
B-ID-106,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Male,Young,NationalLang,Polish,Center,UpperClass,AntiEU,ProNATOAntiDonovia,['Twitter(LT)']
B-ID-107,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Male,Young,NationalLang,Lithuanian,Left,LowerClass,AntiEU,Neutral,['Facebook(LT)']
B-ID-108,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,NotApplicable,DonovianLang,Polish,Undecided,UpperClass,ProEU,ProNATOAntiDonovia,['Delfi LT (delfi.lt)']
B-ID-109,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Male,Old,NationalLang,Other,Right,MiddleClass,Undecided,ProNATOAntiDonovia,[]
B-ID-110,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Middle,BothLang,Lithuanian,Right,MiddleClass,ProEU,ProNATOAntiDonovia,"['Lietuvos Rytas (lrytas.lt)', 'Facebook(LT)']"
B-ID-111,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Old,NationalLang,Donovian,Right,MiddleClass,ProEU,Undecided,[]
B-ID-112,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Middle,BothLang,Lithuanian,Left,UpperClass,ProEU,Undecided,"['Delfi LT (delfi.lt)', 'Twitter(LT)']"
B-ID-113,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Middle,NationalLang,Lithuanian,Right,LowerClass,AntiEU,ProNATOAntiDonovia,['Facebook(LT)']
B-ID-114,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Old,NationalLang,Belarusian,Right,LowerClass,ProEU,AntiNATOProDonovia,[]
B-ID-115,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Male,Old,BothLang,Polish,Undecided,LowerClass,Undecided,ProNATOAntiDonovia,[]
B-ID-116,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Young,NationalLang,Lithuanian,Right,UpperClass,ProEU,ProNATOAntiDonovia,"['LNK', 'L24 (l24.lt)', 'Facebook(LT)']"
B-ID-117,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Male,NotApplicable,BothLang,Belarusian,Undecided,UpperClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LRT (lrt.lt)', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-118,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Male,Middle,NationalLang,Lithuanian,Right,UpperClass,ProEU,AntiNATOProDonovia,[]
B-ID-119,basic,Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Male,NotApplicable,NationalLang,Donovian,Right,UpperClass,ProEU,ProNATOAntiDonovia,"['LNK', 'Delfi LT (delfi.lt)', 'L24 (l24.lt)', 'Facebook(LT)']"
