Type,Document ID,Information Source ID,Topic ID,IP-id,Stance
IPs,10160,L24 (l24.lt),Civil protests against Donovia,IP-379,2
IPs,10162,L24 (l24.lt),IDPs migrate within Lithuania as result of war,IP-383,-3
IPs,10164,L24 (l24.lt),IDPs migrate within Lithuania as result of war,IP-387,-1
IPs,10166,L24 (l24.lt),IDPs migrate within Lithuania as result of war,IP-391,1
IPs,10168,L24 (l24.lt),IDPs migrate to Poland as result of war,IP-395,-2
IPs,10170,L24 (l24.lt),IDPs migrate to Poland as result of war,IP-399,0
IPs,10172,L24 (l24.lt),Low Morale of Lithuanian civilians,IP-403,-3
IPs,10174,L24 (l24.lt),Low Morale of Lithuanian civilians,IP-407,-1
IPs,10176,L24 (l24.lt),Low Morale of Lithuanian civilians,IP-411,1
IPs,10178,L24 (l24.lt),Low Morale of Polish civilians,IP-415,-2
IPs,10180,L24 (l24.lt),Low Morale of Polish civilians,IP-419,0
IPs,10183,Delfi LT (delfi.lt),NATO military actions in Lithuania,IP-423,0
IPs,10185,Delfi LT (delfi.lt),NATO military actions in Lithuania,IP-427,2
IPs,10186,Delfi LT (delfi.lt),NATO military actions in Lithuania,IP-431,3
IPs,10188,Delfi LT (delfi.lt),Donovian military actions in Lithuania,IP-435,-2
IPs,10190,Delfi LT (delfi.lt),Donovian military actions in Lithuania,IP-439,0
IPs,10193,Delfi LT (delfi.lt),Article 5 invoked by NATO,IP-443,0
IPs,10195,Delfi LT (delfi.lt),Article 5 invoked by NATO,IP-447,2
IPs,10196,Delfi LT (delfi.lt),Article 5 invoked by NATO,IP-451,3
IPs,10199,Delfi LT (delfi.lt),Civil protests against Donovia,IP-455,1
IPs,10170,Delfi LT (delfi.lt),Civil protests against Donovia,IP-459,2
IPs,10181,Delfi LT (delfi.lt),IDPs migrate to Poland as result of war,IP-476,-1
IPs,10184,Delfi LT (delfi.lt),IDPs migrate to Poland as result of war,IP-480,2
IPs,10185,Delfi LT (delfi.lt),NATO war crimes,IP-484,-2
IPs,10185,Delfi LT (delfi.lt),NATO war crimes,IP-488,-1
IPs,10186,Delfi LT (delfi.lt),Donovian war crimes,IP-492,-3
IPs,10188,Delfi LT (delfi.lt),Donovian war crimes,IP-496,-1
IPs,10189,Delfi LT (delfi.lt),Donovian war crimes,IP-500,0
